date,Belgium,Denmark,Greece,Spain,Ireland,Italy,Netherlands,Austria,Portugal,Finland,Sweden,UK
01.01.1990,6287,3166,3313,13986,1326,22833,7182,4860,2867,6688,15112,29036
01.02.1990,5546,2737,2837,11785,1225,20379,6372,4157,2214,5536,12774,29184
01.03.1990,5975,2906,3017,12767,1292,22035,6886,4130,2338,5927,13682,34522
01.04.1990,5461,2550,2714,11805,1189,20113,6319,4044,2157,5176,11767,24910
01.05.1990,5272,2532,2909,11693,1162,20820,6521,3823,2273,4969,10687,22648
01.06.1990,5171,2398,2940,12254,1077,20504,6372,3766,2208,4262,9246,27986
01.07.1990,4735,2116,3215,12900,1084,21495,6322,3818,2387,4355,8309,21600
01.08.1990,5132,2635,3040,11502,1098,17261,6586,3696,2090,4820,9779,21369
01.09.1990,5293,2587,2577,12207,1150,20769,6589,3917,2235,5064,11086,28826
01.10.1990,5869,2850,3020,11973,1268,21933,7205,4275,2392,5687,13003,25178
01.11.1990,6115,3097,2912,12682,1332,21559,7183,4478,2430,6150,14432,28215
01.12.1990,6278,3147,3124,14291,1363,21866,7314,4779,2670,6091,15109,36529
01.01.1991,6557,3415,3322,14829,1443,23003,7522,4915,2751,6646,15840,30345
01.02.1991,6195,3270,2973,13614,1317,21302,6892,4665,2474,6173,14986,31929
01.03.1991,5997,3240,3001,12393,1318,21675,7114,4536,2466,6127,14290,34630
01.04.1991,5610,2952,2753,12203,1207,20183,6566,4133,2225,5361,12339,25668
01.05.1991,5611,2896,2756,12461,1217,21074,6697,4110,2318,5157,11237,24428
01.06.1991,5410,2745,2911,11761,1120,20451,6513,3997,2243,4061,9628,28167
01.07.1991,5015,2421,3191,13256,1182,21945,6651,4027,2515,4216,8175,21916
01.08.1991,5149,2874,3077,11882,1142,17354,6700,3900,2205,4631,9353,21089
01.09.1991,5433,2874,2920,12692,1191,21361,6767,3969,2379,5045,10302,27825
01.10.1991,6160,3184,2942,13052,1325,22197,7391,4418,2485,5595,12383,25989
01.11.1991,6337,3369,3001,13018,1389,22118,7296,4633,2499,5752,13371,28553
01.12.1991,6622,3405,3365,13865,1401,22741,7184,4954,2653,5915,14366,36072
01.01.1992,6863,3543,3431,15434,1553,23508,7593,4944,2986,6345,14851,29177
01.02.1992,6284,3231,3280,13991,1331,22482,7077,4588,2660,5913,13786,30104
01.03.1992,6402,3256,3265,13779,1363,23149,7322,4666,2559,5988,13910,35306
01.04.1992,5917,2982,2870,12694,1290,21142,6848,4186,2414,5463,12852,25749
01.05.1992,5620,2733,2957,12568,1250,21266,6817,3981,2456,5006,10468,23718
01.06.1992,5522,2544,3064,12292,1164,21238,6725,3838,2352,4138,8964,27527
01.07.1992,5157,2508,3321,13641,1209,22420,6849,3977,2608,4176,8103,22123
01.08.1992,5431,2806,3359,12301,1181,18239,6631,3822,2289,4717,9676,21406
01.09.1992,5772,2811,2858,12914,1272,21389,6977,3931,2457,5120,10624,29101
01.10.1992,6496,3221,3100,13124,1406,22153,7585,4443,2543,6192,13440,26192
01.11.1992,6329,3391,3031,12877,1435,21836,7462,4576,2533,6347,13487,28607
01.12.1992,6596,3486,3431,13532,1468,21718,7717,4809,2627,6103,13870,36334
01.01.1993,6726,3633,3417,14482,1480,22616,7787,4818,2845,6532,14498,30221
01.02.1993,6283,3289,3198,13184,1343,21363,7099,4575,2455,5966,13406,29628
01.03.1993,6491,3405,3216,13885,1476,23309,7558,4782,2686,6282,13893,34900
01.04.1993,5882,2936,2876,12259,1322,21024,6928,4124,2453,5482,11912,24813
01.05.1993,5652,2772,2935,12624,1318,21490,6782,3860,2380,4970,10097,23711
01.06.1993,5621,2812,3251,12532,1230,22020,6885,3971,2300,4621,9896,28196
01.07.1993,5116,2449,3692,13308,1234,22174,6885,3981,2534,4164,8639,22114
01.08.1993,5384,2892,3583,12247,1224,18459,6765,3844,2247,5038,10121,22258
01.09.1993,5923,3046,3240,12628,1328,22301,6770,4092,2374,5548,11207,30099
01.10.1993,6484,3300,3142,13089,1438,22373,7622,4385,2392,6049,12584,27110
01.11.1993,6665,3618,3280,13342,1492,22661,7765,4743,2482,6546,13875,29568
01.12.1993,6850,3660,3425,13895,1516,22568,8061,4889,2510,6613,14721,36110
01.01.1994,6947,3633,3390,13079,1553,22650,7636,4832,2642,6975,14941,30344
01.02.1994,6442,3413,3204,13332,1457,21635,7092,4532,2342,6802,14645,30629
01.03.1994,6812,3532,3245,13150,1534,22989,7536,4622,2298,6673,13895,35002
01.04.1994,6282,3001,3068,12572,1407,21231,7220,4232,2167,5681,11486,26302
01.05.1994,5939,2861,3187,12747,1380,22341,7140,4145,2285,5416,10753,24352
01.06.1994,5916,2594,3486,13012,1289,22423,7183,3998,2239,4788,9664,28387
01.07.1994,5422,2560,4048,14043,1278,23598,7181,3956,2415,4756,8117,22586
01.08.1994,5711,2981,3796,12842,1300,19779,7168,3977,2176,5258,9492,22531
01.09.1994,6210,3004,3479,13236,1356,22658,7332,4098,2358,5491,10414,30073
01.10.1994,6710,3262,2955,13071,1465,23185,7818,4484,2371,6139,12399,26828
01.11.1994,6673,3374,3367,13364,1511,23015,7914,4629,2420,6520,12999,28257
01.12.1994,7154,3352,3743,14348,1554,23820,8100,4976,2573,6310,13846,35816
01.01.1995,7453,3621,3664,15268,1637,24704,8143,5200,2706,7010,14951,31098
01.02.1995,6563,3117,3221,13224,1475,23014,7454,4479,2278,6184,12997,30519
01.03.1995,7139,3408,3415,14671,1622,24675,8074,4921,2503,6618,13861,36461
01.04.1995,6441,2769,3142,13069,1417,21963,7267,4319,2245,5886,12260,26097
01.05.1995,6312,2818,3316,14192,1443,23029,7313,4218,2399,5610,11490,24750
01.06.1995,6120,2698,3641,13706,1351,23876,7283,4161,2383,4776,9682,28736
01.07.1995,5622,2421,3928,14697,1357,24619,7372,4105,2367,4993,8467,23265
01.08.1995,5928,2838,3518,13490,1370,19640,7488,4052,2391,5336,9817,23296
01.09.1995,6210,2754,3706,13519,1411,22966,7502,4229,2462,5557,10552,30078
01.10.1995,6563,3282,3439,13683,1500,24197,7963,4399,2552,6003,11724,26479
01.11.1995,6798,3286,3492,13886,1590,24190,7962,4893,2523,6625,14224,28926
01.12.1995,7348,3363,3827,14746,1650,23890,8240,5116,2638,7016,16029,38098
01.01.1996,7531,3797,3893,15626,1726,24869,8601,5344,2773,7314,15821,31564
01.02.1996,7180,3571,3661,14767,1652,23925,8033,5099,2618,7089,15239,32981
01.03.1996,7257,3523,3618,14909,1719,24919,8142,5092,2583,6674,13899,38675
01.04.1996,6394,2909,3237,13216,1531,22108,7406,4437,2276,5868,11451,27285
01.05.1996,6419,2941,3471,13753,1543,23159,7601,4301,2414,5487,11008,26483
01.06.1996,5994,2855,3682,14041,1394,23309,7391,4068,2421,4699,9480,30058
01.07.1996,5761,2685,4178,14897,1442,24224,7390,4282,2736,5032,8983,24152
01.08.1996,5881,2934,3963,13797,1435,19498,7727,4098,2348,5285,9432,23641
01.09.1996,6317,2866,3436,13657,1476,22888,7517,4444,2530,5803,10555,32205
01.10.1996,6894,3196,3477,14329,1633,24249,8054,4766,2656,6401,11673,27258
01.11.1996,7118,3361,3487,14834,1727,23654,8313,4715,2635,6476,12994,30034
01.12.1996,7586,3379,3724,15509,1764,23299,8721,5166,2767,7042,14976,39372
01.01.1997,7989,3802,3763,16248,1850,24579,8925,5424,2931,7555,15140,32866
01.02.1997,6814,3247,3534,13690,1628,23025,7849,4673,2416,6672,13303,31491
01.03.1997,7060,3106,3766,14412,1690,23464,8213,4840,2512,6892,13699,36399
01.04.1997,6735,3048,3533,14293,1593,23727,7780,4598,2536,6348,12619,26613
01.05.1997,6464,2856,3867,14415,1588,24134,7826,4368,2519,5939,11343,25819
01.06.1997,6303,2714,3886,14725,1497,24304,7756,4298,2455,5098,9803,30377
01.07.1997,6042,2508,4548,15287,1543,25824,7978,4437,2806,5421,8884,25213
01.08.1997,6234,2936,3949,14842,1523,20566,8013,4123,2453,5663,9797,24422
01.09.1997,6475,2828,3549,15179,1580,25042,7988,4281,2721,5858,10520,31629
01.10.1997,7175,3263,3756,15519,1722,25684,8723,4872,2785,6788,13022,27799
01.11.1997,7228,3446,3783,15537,1760,25168,8548,4928,2648,7042,13741,30503
01.12.1997,7645,3574,3996,16666,1806,25246,8941,5201,2804,7309,13957,38823
01.01.1998,7777,3488,3988,16418,1885,25847,9002,5254,2907,7556,14529,30977
01.02.1998,7002,3096,3544,15052,1673,24084,8091,4715,2723,7146,13010,31559
01.03.1998,7510,3306,3940,15818,1811,25970,8864,5081,2755,7505,14241,38467
01.04.1998,6997,2886,3537,15128,1723,23946,8223,4557,2553,6621,12512,28896
01.05.1998,6724,2627,3658,15101,1650,24301,8176,4405,2595,6167,11048,26608
01.06.1998,6521,2756,4051,15393,1594,25298,8084,4372,2612,5280,10120,31501
01.07.1998,6278,2467,4787,17021,1624,27010,8244,4536,2979,5579,9140,25400
01.08.1998,6360,2870,4633,15639,1581,21604,8065,4327,2656,5827,10443,24808
01.09.1998,6826,2914,3888,15689,1667,25318,8368,4607,2795,6119,10821,32570
01.10.1998,7429,3219,3844,16192,1800,25672,9056,4854,2823,6748,12936,29376
01.11.1998,7553,3447,3827,16517,1882,25845,9187,5100,2817,7255,14424,31720
01.12.1998,7653,3540,4277,17641,1898,25736,9309,5421,3197,7343,14818,38828
01.01.1999,7615,3539,4163,17996,1984,25886,9048,5344,3290,7944,15156,33311
01.02.1999,7160,3210,3781,16551,1792,24596,8158,5047,2935,7298,13779,32872
01.03.1999,7554,3390,3907,16842,1934,26237,8891,5146,3070,7410,14337,38541
01.04.1999,6896,2840,3520,15686,1771,24128,8264,4645,2725,6460,11875,28965
01.05.1999,6631,2793,3863,16026,1733,25056,8347,4577,2773,6281,11268,27814
01.06.1999,6610,2720,4403,16503,1662,25768,8211,4456,2784,5323,9874,32233
01.07.1999,6318,2457,4986,18110,1689,27438,8520,4571,3136,5660,8925,26997
01.08.1999,6501,2811,4635,16610,1691,22186,8224,4437,2750,6056,10066,26945
01.09.1999,6768,2835,3915,16960,1618,26224,8491,4506,2915,6284,10419,32374
01.10.1999,7488,3086,4018,16797,1863,26608,9261,4841,2891,6956,12499,30839
01.11.1999,7695,3269,4008,17716,1941,26490,9108,5241,3026,7373,13402,32414
01.12.1999,8139,3476,4327,18567,2068,26982,9655,5643,3234,7741,15624,39302
01.01.2000,8021,3493,4588,19656,2091,27282,9522,5725,3582,7982,15386,34563
01.02.2000,7575,3232,4178,17378,1965,26501,8874,5229,4085,7404,14358,33652
01.03.2000,7874,3318,4267,18085,2010,27620,9415,5419,3082,7643,14654,38063
01.04.2000,7103,2840,3899,16801,1905,24860,8546,4779,2931,6075,12242,30452
01.05.2000,7122,2932,4124,17555,1830,26618,8835,4689,3024,6469,11135,29496
01.06.2000,6753,2679,4679,17647,1761,27075,8422,4509,3036,5605,10225,31735
01.07.2000,6598,2516,5469,18550,1795,27833,8626,4690,3221,5895,9539,27282
01.08.2000,6922,2891,5022,17543,1807,23603,8750,4631,3012,6291,10660,27440
01.09.2000,7021,2880,4330,18019,1859,27142,8852,4813,3115,6543,11350,32898
01.10.2000,7690,3101,4177,17600,2016,27336,9411,5194,3181,7088,12483,31208
01.11.2000,7798,3241,4152,18678,2100,27245,9570,5291,3330,7339,13527,33497
01.12.2000,7989,3358,4602,19162,2119,27058,9603,5521,3280,7472,14872,38783
01.01.2001,8362,3546,4692,19927,2320,28548,9727,5824,3529,8209,16147,37001
01.02.2001,7508,3211,4179,17785,2091,26198,9056,5188,3025,7757,14985,34656
01.03.2001,8030,3456,4337,18626,2243,28312,9615,5484,3320,8099,15503,39147
01.04.2001,7312,3001,3991,16643,2021,25420,8774,4960,3020,6860,12783,32147
01.05.2001,7048,2860,4284,18098,1969,27459,8870,4917,3187,6594,11463,29256
01.06.2001,6771,2708,4790,18840,1858,27460,8623,4700,3174,5606,10197,31474
01.07.2001,6599,2555,5462,19618,1895,28923,8937,4791,3390,5918,9341,28101
01.08.2001,6782,2875,5266,18615,1898,24479,9127,4686,3132,6196,10479,28064
01.09.2001,7049,2882,4658,18179,1925,26861,8970,4905,3266,6429,11295,32468
01.10.2001,7516,3136,4537,18439,2079,28270,9740,5286,3320,7187,12651,30992
01.11.2001,7736,3319,4566,19411,2160,27668,9708,5632,3461,7668,14437,33797
01.12.2001,8081,3477,5138,20996,2247,27771,9883,6095,3841,8128,15790,39178
01.01.2002,8339,3616,5071,21258,2259,29523,10096,6093,3799,8647,16001,36092
01.02.2002,7359,3109,4261,18594,2049,26790,9025,5174,3162,7506,13795,33018
01.03.2002,7811,3234,4536,19127,2171,28232,9659,5363,3314,7833,14617,37180
01.04.2002,7720,2952,4377,18493,2077,26204,8954,5054,3098,7027,12506,30141
01.05.2002,7201,2846,4416,18533,1986,27849,9023,4887,3194,6575,11127,29601
01.06.2002,6987,2684,5077,19080,1870,28620,8855,4866,3200,5540,9960,30686
01.07.2002,6831,2560,5881,20494,1889,30142,9009,4979,3524,6112,9399,28275
01.08.2002,6926,2889,5115,18230,1888,23977,9150,4802,3125,6395,10204,28197
01.09.2002,7093,2820,4538,18687,1926,27970,9162,4974,3256,6736,10901,30898
01.10.2002,7816,3243,4562,19312,2143,29030,9741,5540,3397,7924,13855,30894
01.11.2002,7771,3363,4577,19147,2198,28482,9772,5519,3286,8367,14685,33046
01.12.2002,8266,3575,5088,19851,2288,28169,10225,5860,3336,8671,15972,40494
01.01.2003,8630,3706,4703,21447,2352,26462,10436,6124,3602,9307,16139,34664
01.02.2003,7812,3339,4656,20085,2168,27947,9314,5645,3327,7939,14474,34501
01.03.2003,7878,3380,4758,19890,2216,29284,9717,5789,3230,8141,14126,38122
01.04.2003,7363,2981,4348,18031,2029,26960,8997,5274,2940,7410,12717,30139
01.05.2003,7236,2891,4573,18690,2039,28212,9062,5119,3264,6900,11157,28595
01.06.2003,6942,2692,5019,20174,1815,30034,8885,4957,3322,5791,9808,33142
01.07.2003,6851,2666,5861,21967,1884,31877,9058,5136,3592,6171,9177,28050
01.08.2003,6895,2925,5398,20710,1848,26162,9095,5057,3378,6575,10061,27390
01.09.2003,7141,2871,4660,19633,1839,28297,9149,5083,3413,6800,10649,33513
01.10.2003,7978,3298,4545,19903,2115,29260,9857,5716,3482,7755,13311,31700
01.11.2003,8551,3290,4523,20073,2167,28608,9847,5662,3350,7892,13480,32985
01.12.2003,8281,3441,5109,21461,2222,28828,10269,6022,3582,8008,14617,41130
01.01.2004,8598,3615,5192,21237,2405,29566,10463,6237,3772,9018,16414,37648
01.02.2004,7941,3286,4677,20684,2243,28521,9351,5775,3390,8265,14407,37274
01.03.2004,8254,3408,4637,21905,2196,29865,9744,5972,3662,8316,14528,43760
01.04.2004,7476,2921,4256,19139,2072,25176,9037,5371,3243,7243,11907,32957
01.05.2004,7293,2824,4349,19991,2047,27648,9091,5227,3392,6999,11050,30987
